session,block,trial,block_type,stim_id,stim_cond,stim_cond_source,stim_ang,stim_eccen,stim_xpos,stim_ypos,stim_onset,stim_dur,isi,made_resp,key,rt,resp,acc,stim_timestamp
2,4,1.0,study,eiffeltower,old,4.0,-45.0,2.0,-1.414213562373095,1.4142135623730951,0.0,2.0,4.0,True,2,1.1923449989990331,larger,,0.036253624013625085
2,4,2.0,study,measuringtape01,old,3.0,-135.0,2.0,-1.4142135623730954,-1.414213562373095,6.0,2.0,4.0,True,1,1.1147601359989494,smaller,,5.986281207005959
2,4,3.0,study,lemon02,old,3.0,-135.0,2.0,-1.4142135623730954,-1.414213562373095,12.0,2.0,4.0,True,1,0.8688695439777803,smaller,,11.986887231993023
2,4,4.0,study,hand01b,old,4.0,-45.0,2.0,-1.414213562373095,1.4142135623730951,18.0,2.0,7.0,True,2,1.3471213580050971,larger,,17.987065460998565
2,4,5.0,study,jumpercables,old,1.0,45.0,2.0,1.4142135623730951,1.414213562373095,27.0,2.0,4.0,True,1,1.3753430189972278,smaller,,26.98686323899892
2,4,6.0,study,cardboardbox,old,4.0,-45.0,2.0,-1.414213562373095,1.4142135623730951,33.0,2.0,7.0,True,2,1.6219394910149276,larger,,32.98670037800912
2,4,7.0,study,polarbear,old,4.0,-45.0,2.0,-1.414213562373095,1.4142135623730951,42.0,2.0,6.0,True,2,1.0901395199762192,larger,,41.9861205299967
2,4,8.0,study,radiator,old,2.0,135.0,2.0,1.4142135623730951,-1.414213562373095,50.0,2.0,5.0,True,2,1.0321795440104324,larger,,49.98652946599759
2,4,9.0,study,gift01,old,4.0,-45.0,2.0,-1.414213562373095,1.4142135623730951,57.0,2.0,4.0,True,2,1.1347446790023241,larger,,56.98653917000047
2,4,10.0,study,handcuffs,old,2.0,135.0,2.0,1.4142135623730951,-1.414213562373095,63.0,2.0,4.0,True,1,1.145076328975847,smaller,,62.98639722299413
2,4,11.0,study,phonebooth,old,3.0,-135.0,2.0,-1.4142135623730954,-1.414213562373095,69.0,2.0,4.0,True,2,0.7328194309957325,larger,,68.98633393799537
2,4,12.0,study,highheelshoe01,old,3.0,-135.0,2.0,-1.4142135623730954,-1.414213562373095,75.0,2.0,4.0,True,1,0.9504665810090955,smaller,,74.9862792850181
2,4,13.0,study,drill01b,old,2.0,135.0,2.0,1.4142135623730951,-1.414213562373095,81.0,2.0,6.0,True,1,1.3635934450139757,smaller,,80.98619440200855
2,4,14.0,study,onion,old,1.0,45.0,2.0,1.4142135623730951,1.414213562373095,89.0,2.0,5.0,True,1,1.0073023709992412,smaller,,88.98613977700006
2,4,15.0,study,postitnote,old,4.0,-45.0,2.0,-1.414213562373095,1.4142135623730951,96.0,2.0,4.0,True,3,1.5805944580060896,unrecognizable,,95.98613391700201
2,4,16.0,study,coffeebean,old,2.0,135.0,2.0,1.4142135623730951,-1.414213562373095,102.0,2.0,5.0,True,1,1.3730105060094502,smaller,,101.98623982601566
2,4,17.0,study,recyclingbin,old,2.0,135.0,2.0,1.4142135623730951,-1.414213562373095,109.0,2.0,4.0,True,2,0.9822735959896818,larger,,108.98713281800156
2,4,18.0,study,8ball,old,4.0,-45.0,2.0,-1.414213562373095,1.4142135623730951,115.0,2.0,4.0,True,1,0.8436112230119761,smaller,,114.98708566199639
2,4,19.0,study,chessboard,old,2.0,135.0,2.0,1.4142135623730951,-1.414213562373095,121.0,2.0,6.0,True,2,0.9465370840043761,larger,,120.9869580049999
2,4,20.0,study,gavel,old,2.0,135.0,2.0,1.4142135623730951,-1.414213562373095,129.0,2.0,4.0,True,1,0.8408175150107127,smaller,,128.986982093018
2,4,21.0,study,kettle01,old,2.0,135.0,2.0,1.4142135623730951,-1.414213562373095,135.0,2.0,4.0,True,2,1.4044903080211952,larger,,134.98796881601447
2,4,22.0,study,bowlingpin,old,2.0,135.0,2.0,1.4142135623730951,-1.414213562373095,141.0,2.0,5.0,True,2,1.0962429650244303,larger,,140.9882096160145
2,4,23.0,study,stapler03a,old,2.0,135.0,2.0,1.4142135623730951,-1.414213562373095,148.0,2.0,5.0,True,1,1.1507263910025358,smaller,,147.98794761899626
2,4,24.0,study,dryingmachine02,old,4.0,-45.0,2.0,-1.414213562373095,1.4142135623730951,155.0,2.0,5.0,True,2,1.2283014120184816,larger,,154.98801023699343
