session,block,trial,block_type,stim_id,stim_cond,stim_cond_source,stim_ang,stim_eccen,stim_xpos,stim_ypos,stim_onset,stim_dur,isi,made_resp,key,rt,resp,acc,stim_timestamp
1,14,1.0,recog,keyboard,new,,,2.0,,,0.0,2.0,4.0,True,2,2.13456752500133,new,1,0.001900465998915024
1,14,2.0,recog,button01,old,2.0,135.0,2.0,1.4142135623730951,-1.414213562373095,6.0,2.0,4.0,True,1,1.2231544539990864,old,1,6.002466259000357
1,14,3.0,recog,rubikcube,old,3.0,-135.0,2.0,-1.4142135623730954,-1.414213562373095,12.0,2.0,7.0,True,1,0.9457063050012948,old,1,11.986365288999878
1,14,4.0,recog,loppingshears,old,4.0,-45.0,2.0,-1.414213562373095,1.4142135623730951,21.0,2.0,4.0,True,1,1.3872001950003323,old,1,20.98727616799988
1,14,5.0,recog,cupcake,old,2.0,135.0,2.0,1.4142135623730951,-1.414213562373095,27.0,2.0,7.0,True,1,1.6053053570012707,old,1,26.98710246599876
1,14,6.0,recog,parrot01,new,,,2.0,,,36.0,2.0,4.0,True,2,1.0488920900006633,new,1,35.987206484000126
1,14,7.0,recog,candycane01a,old,3.0,-135.0,2.0,-1.4142135623730954,-1.414213562373095,42.0,2.0,4.0,True,1,1.1770043999986228,old,1,41.98729782800001
1,14,8.0,recog,makiroll,old,4.0,-45.0,2.0,-1.414213562373095,1.4142135623730951,48.0,2.0,4.0,True,1,1.4257774270008667,old,1,47.987351638999826
1,14,9.0,recog,ballofstring,old,2.0,135.0,2.0,1.4142135623730951,-1.414213562373095,54.0,2.0,5.0,True,1,1.6022912680000445,old,1,53.98717553899951
1,14,10.0,recog,aircompressor,new,,,2.0,,,61.0,2.0,5.0,True,2,1.2176853029995982,new,1,60.98727781999878
1,14,11.0,recog,perfume01a,new,,,2.0,,,68.0,2.0,5.0,True,2,2.8094626769998285,new,1,67.98724497599869
1,14,12.0,recog,hammerheadshark,new,,,2.0,,,75.0,2.0,4.0,True,2,1.9215744239991182,new,1,74.98741833900021
1,14,13.0,recog,slipper01b,new,,,2.0,,,81.0,2.0,5.0,True,2,0.8796233319990279,new,1,80.98711877200003
1,14,14.0,recog,pooltable,old,2.0,135.0,2.0,1.4142135623730951,-1.414213562373095,88.0,2.0,4.0,True,1,1.3718622520009376,old,1,87.98733549399913
1,14,15.0,recog,locomotive,old,4.0,-45.0,2.0,-1.414213562373095,1.4142135623730951,94.0,2.0,6.0,True,1,1.892449883000154,old,1,93.98702652700013
1,14,16.0,recog,portapotty,new,,,2.0,,,102.0,2.0,4.0,True,2,1.639890310998453,new,1,101.98723468000026
1,14,17.0,recog,pickaxe02,old,3.0,-135.0,2.0,-1.4142135623730954,-1.414213562373095,108.0,2.0,4.0,True,1,1.78121456900044,old,1,107.98734503599917
1,14,18.0,recog,callbell,new,,,2.0,,,114.0,2.0,5.0,True,2,1.9390908280001895,new,1,113.98720263900032
1,14,19.0,recog,toysoldier01b,new,,,2.0,,,121.0,2.0,5.0,True,2,1.4055042439995304,new,1,120.98727931999929
1,14,20.0,recog,candleholder01,new,,,2.0,,,128.0,2.0,4.0,True,2,1.718071918001442,new,1,127.98643817199991
1,14,21.0,recog,jug,new,,,2.0,,,134.0,2.0,4.0,True,2,2.0848440900008427,new,1,133.98815051099882
1,14,22.0,recog,gavel,old,2.0,135.0,2.0,1.4142135623730951,-1.414213562373095,140.0,2.0,4.0,True,1,1.839815979001287,old,1,139.98821879099887
1,14,23.0,recog,chimney,new,,,2.0,,,146.0,2.0,7.0,True,2,1.2448680790002982,new,1,145.98637239500022
1,14,24.0,recog,fishinghook03,old,4.0,-45.0,2.0,-1.414213562373095,1.4142135623730951,155.0,2.0,4.0,True,1,1.1806516060005379,old,1,154.9858591100001
1,14,25.0,recog,birdhouse,old,1.0,45.0,2.0,1.4142135623730951,1.414213562373095,161.0,2.0,4.0,True,1,1.7202266960011912,old,1,160.98787536799864
1,14,26.0,recog,windshieldwasherfluid,new,,,2.0,,,167.0,2.0,6.0,True,2,1.1236263350001536,new,1,166.98846003200015
1,14,27.0,recog,wagonwheel,old,1.0,45.0,2.0,1.4142135623730951,1.414213562373095,175.0,2.0,5.0,True,1,1.0728671819997544,old,1,174.98581179499888
1,14,28.0,recog,lamp04a,old,2.0,135.0,2.0,1.4142135623730951,-1.414213562373095,182.0,2.0,6.0,True,1,1.6802178600009938,old,1,181.9878682999988
1,14,29.0,recog,glassmop,old,3.0,-135.0,2.0,-1.4142135623730954,-1.414213562373095,190.0,2.0,4.0,True,1,2.02700736999941,old,1,189.98713215099997
1,14,30.0,recog,wetfloorsign,old,4.0,-45.0,2.0,-1.414213562373095,1.4142135623730951,196.0,2.0,4.0,True,1,2.031838846998653,old,1,195.98715220099984
1,14,31.0,recog,greenolive,old,4.0,-45.0,2.0,-1.414213562373095,1.4142135623730951,202.0,2.0,4.0,True,1,1.2573268599990115,old,1,201.98836723299974
1,14,32.0,recog,pintofbeer,new,,,2.0,,,208.0,2.0,4.0,True,2,1.78220496799986,new,1,207.98639484699925
1,14,33.0,recog,leek,new,,,2.0,,,214.0,2.0,5.0,True,1,1.4766973850000795,old,0,213.9863547999994
1,14,34.0,recog,congadrum,new,,,2.0,,,221.0,2.0,6.0,True,2,1.4651403890002257,new,1,220.98814884899912
1,14,35.0,recog,toilet,old,2.0,135.0,2.0,1.4142135623730951,-1.414213562373095,229.0,2.0,6.0,True,1,0.9188772990000871,old,1,228.986492602
1,14,36.0,recog,skateboard,old,2.0,135.0,2.0,1.4142135623730951,-1.414213562373095,237.0,2.0,4.0,True,1,1.1398331219988904,old,1,236.98822557899985
1,14,37.0,recog,pickle01a,new,,,2.0,,,243.0,2.0,5.0,True,1,1.4709959659994638,old,0,242.98626899400006
1,14,38.0,recog,garlicpress02a,old,1.0,45.0,2.0,1.4142135623730951,1.414213562373095,250.0,2.0,4.0,True,2,1.4095557279997593,new,0,249.98636121799973
1,14,39.0,recog,measuringtape01,new,,,2.0,,,256.0,2.0,5.0,True,2,1.5747146320009051,new,1,255.98638822799876
1,14,40.0,recog,bagel01,new,,,2.0,,,263.0,2.0,4.0,True,1,1.784922586999528,old,0,262.98639722400003
1,14,41.0,recog,trampoline,old,3.0,-135.0,2.0,-1.4142135623730954,-1.414213562373095,269.0,2.0,6.0,True,1,1.0214827850013535,old,1,268.98630321499877
1,14,42.0,recog,hand01b,old,1.0,45.0,2.0,1.4142135623730951,1.414213562373095,277.0,2.0,4.0,True,1,1.2152873750001163,old,1,276.98625459899995
1,14,43.0,recog,rockinghorse,new,,,2.0,,,283.0,2.0,4.0,True,2,1.2122083329995803,new,1,282.9864605549992
1,14,44.0,recog,safetypin,new,,,2.0,,,289.0,2.0,4.0,True,2,1.9657599099991785,new,1,288.98630534199947
1,14,45.0,recog,cigarette,new,,,2.0,,,295.0,2.0,4.0,True,2,1.893154022998715,new,1,294.98632400099996
1,14,46.0,recog,chipmunk,old,4.0,-45.0,2.0,-1.414213562373095,1.4142135623730951,301.0,2.0,5.0,True,1,1.439527841999734,old,1,300.9863163579994
1,14,47.0,recog,dropper01,new,,,2.0,,,308.0,2.0,4.0,True,2,1.1877587509989098,new,1,307.9862786949998
1,14,48.0,recog,radiator,new,,,2.0,,,314.0,2.0,5.0,True,2,1.0322002350003459,new,1,313.9863702019993
