session,block,trial,block_type,stim_id,stim_cond,stim_cond_source,stim_ang,stim_eccen,stim_xpos,stim_ypos,stim_onset,stim_dur,isi
1,1,1.0,study,ear,old,1.0,45.0,2.0,1.4142135623730951,1.414213562373095,0.0,2.0,5.0
1,1,2.0,study,siamesecat,old,4.0,-45.0,2.0,-1.414213562373095,1.4142135623730951,7.0,2.0,4.0
1,1,3.0,study,mrpotatohead,old,3.0,-135.0,2.0,-1.4142135623730954,-1.414213562373095,13.0,2.0,4.0
1,1,4.0,study,bagtie,old,1.0,45.0,2.0,1.4142135623730951,1.414213562373095,19.0,2.0,5.0
1,1,5.0,study,candycane01a,old,3.0,-135.0,2.0,-1.4142135623730954,-1.414213562373095,26.0,2.0,4.0
1,1,6.0,study,bagel01,old,4.0,-45.0,2.0,-1.414213562373095,1.4142135623730951,32.0,2.0,6.0
1,1,7.0,study,leek,old,4.0,-45.0,2.0,-1.414213562373095,1.4142135623730951,40.0,2.0,5.0
1,1,8.0,study,parkbench02,old,3.0,-135.0,2.0,-1.4142135623730954,-1.414213562373095,47.0,2.0,4.0
1,1,9.0,study,motorcycle,old,3.0,-135.0,2.0,-1.4142135623730954,-1.414213562373095,53.0,2.0,5.0
1,1,10.0,study,sewingmachine01a,old,2.0,135.0,2.0,1.4142135623730951,-1.414213562373095,60.0,2.0,4.0
1,1,11.0,study,tiger02,old,1.0,45.0,2.0,1.4142135623730951,1.414213562373095,66.0,2.0,4.0
1,1,12.0,study,birdhouse,old,4.0,-45.0,2.0,-1.414213562373095,1.4142135623730951,72.0,2.0,4.0
1,1,13.0,study,discoball,old,4.0,-45.0,2.0,-1.414213562373095,1.4142135623730951,78.0,2.0,4.0
1,1,14.0,study,lifesaver,old,4.0,-45.0,2.0,-1.414213562373095,1.4142135623730951,84.0,2.0,6.0
1,1,15.0,study,dalmatian,old,1.0,45.0,2.0,1.4142135623730951,1.414213562373095,92.0,2.0,6.0
1,1,16.0,study,rubberglove02b,old,3.0,-135.0,2.0,-1.4142135623730954,-1.414213562373095,100.0,2.0,5.0
1,1,17.0,study,hibiscusflower02,old,1.0,45.0,2.0,1.4142135623730951,1.414213562373095,107.0,2.0,7.0
1,1,18.0,study,masquerademask01,old,2.0,135.0,2.0,1.4142135623730951,-1.414213562373095,116.0,2.0,5.0
1,1,19.0,study,exercisemachine,old,4.0,-45.0,2.0,-1.414213562373095,1.4142135623730951,123.0,2.0,7.0
1,1,20.0,study,trophy01,old,4.0,-45.0,2.0,-1.414213562373095,1.4142135623730951,132.0,2.0,4.0
1,1,21.0,study,studiolight,old,4.0,-45.0,2.0,-1.414213562373095,1.4142135623730951,138.0,2.0,4.0
