stim_id,stim_cond,stim_cond_source,stim_ang,stim_eccen,stim_xpos,stim_ypos
8ball,new,,,2.0,,
accordion01,old,2.0,135.0,2.0,1.4142135623730951,-1.414213562373095
aceofdiamond,old,3.0,-135.0,2.0,-1.4142135623730954,-1.414213562373095
acousticguitar02,old,3.0,-135.0,2.0,-1.4142135623730954,-1.414213562373095
addressplate,old,1.0,45.0,2.0,1.4142135623730951,1.414213562373095
aircompressor,old,4.0,-45.0,2.0,-1.414213562373095,1.4142135623730951
airhockeytable,new,,,2.0,,
almond,new,,,2.0,,
americangoldfinch,new,,,2.0,,
ant,old,3.0,-135.0,2.0,-1.4142135623730954,-1.414213562373095
apple07,old,3.0,-135.0,2.0,-1.4142135623730954,-1.414213562373095
apricot,old,4.0,-45.0,2.0,-1.414213562373095,1.4142135623730951
arm,new,,,2.0,,
axe01,new,,,2.0,,
bagel01,old,3.0,-135.0,2.0,-1.4142135623730954,-1.414213562373095
bagtie,old,1.0,45.0,2.0,1.4142135623730951,1.414213562373095
ballofstring,old,3.0,-135.0,2.0,-1.4142135623730954,-1.414213562373095
balloon01b,old,4.0,-45.0,2.0,-1.414213562373095,1.4142135623730951
banjo,new,,,2.0,,
barbecuelighter,old,3.0,-135.0,2.0,-1.4142135623730954,-1.414213562373095
barnowl,old,1.0,45.0,2.0,1.4142135623730951,1.414213562373095
barrel01,old,2.0,135.0,2.0,1.4142135623730951,-1.414213562373095
baseball01a,old,1.0,45.0,2.0,1.4142135623730951,1.414213562373095
baseballglove,new,,,2.0,,
basketball01,new,,,2.0,,
bassethound,old,4.0,-45.0,2.0,-1.414213562373095,1.4142135623730951
battery02b,new,,,2.0,,
beachpaddle01a,old,3.0,-135.0,2.0,-1.4142135623730954,-1.414213562373095
beachumbrella01,new,,,2.0,,
bed,old,4.0,-45.0,2.0,-1.414213562373095,1.4142135623730951
belltower01,old,2.0,135.0,2.0,1.4142135623730951,-1.414213562373095
bench01,new,,,2.0,,
bicycle,old,3.0,-135.0,2.0,-1.4142135623730954,-1.414213562373095
bikerack,old,2.0,135.0,2.0,1.4142135623730951,-1.414213562373095
binoculars01b,old,1.0,45.0,2.0,1.4142135623730951,1.414213562373095
birdhouse,old,4.0,-45.0,2.0,-1.414213562373095,1.4142135623730951
bison,old,2.0,135.0,2.0,1.4142135623730951,-1.414213562373095
blender,old,4.0,-45.0,2.0,-1.414213562373095,1.4142135623730951
blueberry01,new,,,2.0,,
bluejay,old,4.0,-45.0,2.0,-1.414213562373095,1.4142135623730951
book01b,new,,,2.0,,
boot02b,new,,,2.0,,
bottlecap,new,,,2.0,,
bowl01,old,3.0,-135.0,2.0,-1.4142135623730954,-1.414213562373095
bowlingball,new,,,2.0,,
bowlingpin,new,,,2.0,,
broccoli01a,new,,,2.0,,
bull,new,,,2.0,,
bust,new,,,2.0,,
butterdish,old,1.0,45.0,2.0,1.4142135623730951,1.414213562373095
button01,new,,,2.0,,
cabbage,new,,,2.0,,
calculator01,old,1.0,45.0,2.0,1.4142135623730951,1.414213562373095
callbell,new,,,2.0,,
candleholder01,new,,,2.0,,
candy,new,,,2.0,,
candycane01a,old,1.0,45.0,2.0,1.4142135623730951,1.414213562373095
cannon,old,1.0,45.0,2.0,1.4142135623730951,1.414213562373095
car,old,3.0,-135.0,2.0,-1.4142135623730954,-1.414213562373095
cardboardbox,new,,,2.0,,
carkey,new,,,2.0,,
carrot01,new,,,2.0,,
carsidemirror01,new,,,2.0,,
cartonofeggs,old,1.0,45.0,2.0,1.4142135623730951,1.414213562373095
casabamelon,new,,,2.0,,
cassettetape01a,new,,,2.0,,
castle,new,,,2.0,,
cauliflower01,new,,,2.0,,
cd,new,,,2.0,,
cedarwaxwing,old,1.0,45.0,2.0,1.4142135623730951,1.414213562373095
cellphone,old,2.0,135.0,2.0,1.4142135623730951,-1.414213562373095
centurionhelmet,old,4.0,-45.0,2.0,-1.414213562373095,1.4142135623730951
cessna,new,,,2.0,,
chain01,old,3.0,-135.0,2.0,-1.4142135623730954,-1.414213562373095
chainsaw,new,,,2.0,,
chalkboarderaser01,old,2.0,135.0,2.0,1.4142135623730951,-1.414213562373095
chameleon,new,,,2.0,,
champagne,old,4.0,-45.0,2.0,-1.414213562373095,1.4142135623730951
chandelier,old,1.0,45.0,2.0,1.4142135623730951,1.414213562373095
cheetah,old,2.0,135.0,2.0,1.4142135623730951,-1.414213562373095
cherrypicker,new,,,2.0,,
chessboard,new,,,2.0,,
chessknight03a,old,4.0,-45.0,2.0,-1.414213562373095,1.4142135623730951
chimney,old,2.0,135.0,2.0,1.4142135623730951,-1.414213562373095
chipmunk,new,,,2.0,,
christmasball,old,1.0,45.0,2.0,1.4142135623730951,1.414213562373095
christmastree,old,3.0,-135.0,2.0,-1.4142135623730954,-1.414213562373095
cigarette,old,4.0,-45.0,2.0,-1.414213562373095,1.4142135623730951
cinderblock,new,,,2.0,,
clock01a,old,1.0,45.0,2.0,1.4142135623730951,1.414213562373095
clover,new,,,2.0,,
clownfish,new,,,2.0,,
coathook,new,,,2.0,,
cockroach02,new,,,2.0,,
coffeebean,old,3.0,-135.0,2.0,-1.4142135623730954,-1.414213562373095
coffeemaker,new,,,2.0,,
colonialhat,old,4.0,-45.0,2.0,-1.414213562373095,1.4142135623730951
compactpowder,old,2.0,135.0,2.0,1.4142135623730951,-1.414213562373095
computerkeyboard02,old,4.0,-45.0,2.0,-1.414213562373095,1.4142135623730951
computermouse06,new,,,2.0,,
congadrum,old,1.0,45.0,2.0,1.4142135623730951,1.414213562373095
cookingpot,old,3.0,-135.0,2.0,-1.4142135623730954,-1.414213562373095
cooler01,old,2.0,135.0,2.0,1.4142135623730951,-1.414213562373095
corn02,new,,,2.0,,
cow,new,,,2.0,,
cracker02,new,,,2.0,,
crown,new,,,2.0,,
cruiseship,old,2.0,135.0,2.0,1.4142135623730951,-1.414213562373095
cucumber,new,,,2.0,,
cupcake,new,,,2.0,,
cutleryset,new,,,2.0,,
cymbal,old,3.0,-135.0,2.0,-1.4142135623730954,-1.414213562373095
daisy,old,2.0,135.0,2.0,1.4142135623730951,-1.414213562373095
dalmatian,new,,,2.0,,
dandelion,old,3.0,-135.0,2.0,-1.4142135623730954,-1.414213562373095
dartboard,old,2.0,135.0,2.0,1.4142135623730951,-1.414213562373095
dice05a,new,,,2.0,,
diploma01,old,3.0,-135.0,2.0,-1.4142135623730954,-1.414213562373095
diploma02,new,,,2.0,,
discoball,old,3.0,-135.0,2.0,-1.4142135623730954,-1.414213562373095
dishsoap,old,4.0,-45.0,2.0,-1.414213562373095,1.4142135623730951
doghouse,old,1.0,45.0,2.0,1.4142135623730951,1.414213562373095
dolly01,new,,,2.0,,
dolphin01,old,1.0,45.0,2.0,1.4142135623730951,1.414213562373095
donut,new,,,2.0,,
doorbolt,old,1.0,45.0,2.0,1.4142135623730951,1.414213562373095
doorlock,old,3.0,-135.0,2.0,-1.4142135623730954,-1.414213562373095
doormat,old,4.0,-45.0,2.0,-1.414213562373095,1.4142135623730951
dreamcatcher,old,1.0,45.0,2.0,1.4142135623730951,1.414213562373095
dresser02,old,2.0,135.0,2.0,1.4142135623730951,-1.414213562373095
drill01b,new,,,2.0,,
drinkshaker,old,3.0,-135.0,2.0,-1.4142135623730954,-1.414213562373095
dromedary,old,1.0,45.0,2.0,1.4142135623730951,1.414213562373095
dropper01,new,,,2.0,,
drumset,new,,,2.0,,
dryingmachine02,old,1.0,45.0,2.0,1.4142135623730951,1.414213562373095
duck01,old,1.0,45.0,2.0,1.4142135623730951,1.414213562373095
dustpan,old,3.0,-135.0,2.0,-1.4142135623730954,-1.414213562373095
eagle,new,,,2.0,,
ear,old,3.0,-135.0,2.0,-1.4142135623730954,-1.414213562373095
eiffeltower,old,4.0,-45.0,2.0,-1.414213562373095,1.4142135623730951
electricmixer,new,,,2.0,,
envelope03a,new,,,2.0,,
ethernetcable02,old,1.0,45.0,2.0,1.4142135623730951,1.414213562373095
exercisemachine,old,1.0,45.0,2.0,1.4142135623730951,1.414213562373095
eye,old,4.0,-45.0,2.0,-1.414213562373095,1.4142135623730951
eyechart,old,4.0,-45.0,2.0,-1.414213562373095,1.4142135623730951
fan,new,,,2.0,,
fanblades,new,,,2.0,,
faucet,old,2.0,135.0,2.0,1.4142135623730951,-1.414213562373095
filmroll,old,3.0,-135.0,2.0,-1.4142135623730954,-1.414213562373095
firehydrant,new,,,2.0,,
firstaidkit,new,,,2.0,,
fishinghook03,old,2.0,135.0,2.0,1.4142135623730951,-1.414213562373095
flamingo,new,,,2.0,,
flashlight02b,new,,,2.0,,
flask,old,4.0,-45.0,2.0,-1.414213562373095,1.4142135623730951
flipflop01b,old,3.0,-135.0,2.0,-1.4142135623730954,-1.414213562373095
floorlamp,new,,,2.0,,
floppydisk02a,old,1.0,45.0,2.0,1.4142135623730951,1.414213562373095
flyswatter,old,2.0,135.0,2.0,1.4142135623730951,-1.414213562373095
football,new,,,2.0,,
footballhelmet,old,3.0,-135.0,2.0,-1.4142135623730954,-1.414213562373095
frenchfries,new,,,2.0,,
frenchhorn,old,3.0,-135.0,2.0,-1.4142135623730954,-1.414213562373095
fridge,old,1.0,45.0,2.0,1.4142135623730951,1.414213562373095
frisbee,new,,,2.0,,
fryingpan02a,new,,,2.0,,
gamecontroller01,new,,,2.0,,
gamepiece,old,4.0,-45.0,2.0,-1.414213562373095,1.4142135623730951
garbagebin,new,,,2.0,,
garbagecan02,old,2.0,135.0,2.0,1.4142135623730951,-1.414213562373095
garlic01a,new,,,2.0,,
garlicpress02a,old,2.0,135.0,2.0,1.4142135623730951,-1.414213562373095
gavel,old,4.0,-45.0,2.0,-1.414213562373095,1.4142135623730951
gift01,new,,,2.0,,
giftbag01a,new,,,2.0,,
giftbow02b,old,3.0,-135.0,2.0,-1.4142135623730954,-1.414213562373095
giraffe,old,3.0,-135.0,2.0,-1.4142135623730954,-1.414213562373095
glassmop,old,1.0,45.0,2.0,1.4142135623730951,1.414213562373095
gluetube,old,3.0,-135.0,2.0,-1.4142135623730954,-1.414213562373095
golfball,new,,,2.0,,
gorilla,new,,,2.0,,
gps,old,2.0,135.0,2.0,1.4142135623730951,-1.414213562373095
graduationcap,old,2.0,135.0,2.0,1.4142135623730951,-1.414213562373095
grandpiano,old,2.0,135.0,2.0,1.4142135623730951,-1.414213562373095
granolabar01,new,,,2.0,,
grape01,old,4.0,-45.0,2.0,-1.414213562373095,1.4142135623730951
grater01a,old,3.0,-135.0,2.0,-1.4142135623730954,-1.414213562373095
greenolive,new,,,2.0,,
greywolf,new,,,2.0,,
grizzly,old,2.0,135.0,2.0,1.4142135623730951,-1.414213562373095
hairband,old,4.0,-45.0,2.0,-1.414213562373095,1.4142135623730951
hairdryer02a,new,,,2.0,,
hammer01,old,1.0,45.0,2.0,1.4142135623730951,1.414213562373095
hammerheadshark,old,1.0,45.0,2.0,1.4142135623730951,1.414213562373095
hand01b,new,,,2.0,,
handbag02a,new,,,2.0,,
handbrush02,old,1.0,45.0,2.0,1.4142135623730951,1.414213562373095
handcuffs,old,4.0,-45.0,2.0,-1.414213562373095,1.4142135623730951
hanger02a,old,4.0,-45.0,2.0,-1.414213562373095,1.4142135623730951
hardhat02,new,,,2.0,,
headphones02b,new,,,2.0,,
heron01,new,,,2.0,,
hibiscusflower02,new,,,2.0,,
highheelshoe01,new,,,2.0,,
highlighter02b,new,,,2.0,,
honeybee,new,,,2.0,,
horse,new,,,2.0,,
hose,old,3.0,-135.0,2.0,-1.4142135623730954,-1.414213562373095
hubcap,new,,,2.0,,
icecubetray01a,old,1.0,45.0,2.0,1.4142135623730951,1.414213562373095
iceskate,new,,,2.0,,
interlockingbuildingblock03b,old,1.0,45.0,2.0,1.4142135623730951,1.414213562373095
ironingboard01,new,,,2.0,,
jackrabbit,new,,,2.0,,
jar03,new,,,2.0,,
jarofapplesauce,new,,,2.0,,
jarofcapers,old,3.0,-135.0,2.0,-1.4142135623730954,-1.414213562373095
jeans01,new,,,2.0,,
jellybean,new,,,2.0,,
jug,new,,,2.0,,
jumpercables,old,2.0,135.0,2.0,1.4142135623730951,-1.414213562373095
kalashnikov,new,,,2.0,,
kangaroo,new,,,2.0,,
kettle01,old,2.0,135.0,2.0,1.4142135623730951,-1.414213562373095
key01,new,,,2.0,,
keyboard,new,,,2.0,,
keyhole,old,3.0,-135.0,2.0,-1.4142135623730954,-1.414213562373095
kidbicycle,old,1.0,45.0,2.0,1.4142135623730951,1.414213562373095
killerwhale,old,3.0,-135.0,2.0,-1.4142135623730954,-1.414213562373095
kiwi03,old,4.0,-45.0,2.0,-1.414213562373095,1.4142135623730951
knee,new,,,2.0,,
knife03,old,4.0,-45.0,2.0,-1.414213562373095,1.4142135623730951
ladybug03,old,3.0,-135.0,2.0,-1.4142135623730954,-1.414213562373095
lamp04a,new,,,2.0,,
laptop01a,new,,,2.0,,
leek,new,,,2.0,,
leg,old,1.0,45.0,2.0,1.4142135623730951,1.414213562373095
lemon02,old,3.0,-135.0,2.0,-1.4142135623730954,-1.414213562373095
licenseplate,new,,,2.0,,
lifesaver,new,,,2.0,,
lightbulb01,old,3.0,-135.0,2.0,-1.4142135623730954,-1.414213562373095
lightswitch01,old,4.0,-45.0,2.0,-1.414213562373095,1.4142135623730951
lime,new,,,2.0,,
linedpaper,new,,,2.0,,
lintroller,old,2.0,135.0,2.0,1.4142135623730951,-1.414213562373095
lion,new,,,2.0,,
lionstatue,old,2.0,135.0,2.0,1.4142135623730951,-1.414213562373095
lip,new,,,2.0,,
litterbox,old,3.0,-135.0,2.0,-1.4142135623730954,-1.414213562373095
lock03a,new,,,2.0,,
locomotive,new,,,2.0,,
loppingshears,new,,,2.0,,
lunchbox,old,3.0,-135.0,2.0,-1.4142135623730954,-1.414213562373095
lynx01,new,,,2.0,,
macaque,new,,,2.0,,
mailtruck,old,2.0,135.0,2.0,1.4142135623730951,-1.414213562373095
makeupbrush04,old,3.0,-135.0,2.0,-1.4142135623730954,-1.414213562373095
makiroll,old,1.0,45.0,2.0,1.4142135623730951,1.414213562373095
manholecover,new,,,2.0,,
manshoe,new,,,2.0,,
marker01a,new,,,2.0,,
martiniglass01b,new,,,2.0,,
masquerademask01,old,1.0,45.0,2.0,1.4142135623730951,1.414213562373095
measuringspoon,new,,,2.0,,
measuringtape01,old,3.0,-135.0,2.0,-1.4142135623730954,-1.414213562373095
medal02b,old,1.0,45.0,2.0,1.4142135623730951,1.414213562373095
megaphone,new,,,2.0,,
metalscissors,old,1.0,45.0,2.0,1.4142135623730951,1.414213562373095
microphone01,old,3.0,-135.0,2.0,-1.4142135623730954,-1.414213562373095
microscope,old,3.0,-135.0,2.0,-1.4142135623730954,-1.414213562373095
microwave,old,4.0,-45.0,2.0,-1.414213562373095,1.4142135623730951
mitten04,old,3.0,-135.0,2.0,-1.4142135623730954,-1.414213562373095
monitor,old,2.0,135.0,2.0,1.4142135623730951,-1.414213562373095
moon,new,,,2.0,,
moose,new,,,2.0,,
motorcycle,old,2.0,135.0,2.0,1.4142135623730951,-1.414213562373095
mrpotatohead,old,4.0,-45.0,2.0,-1.414213562373095,1.4142135623730951
muffintray02,new,,,2.0,,
mug01,old,1.0,45.0,2.0,1.4142135623730951,1.414213562373095
mushroom01,new,,,2.0,,
nailclipper03b,old,3.0,-135.0,2.0,-1.4142135623730954,-1.414213562373095
nametag01a,new,,,2.0,,
nintendods,old,2.0,135.0,2.0,1.4142135623730951,-1.414213562373095
noparkingsign,new,,,2.0,,
nose,old,1.0,45.0,2.0,1.4142135623730951,1.414213562373095
nosmokingsign,old,2.0,135.0,2.0,1.4142135623730951,-1.414213562373095
oneholepunch,new,,,2.0,,
onion,new,,,2.0,,
orange,new,,,2.0,,
outletadapter01,old,4.0,-45.0,2.0,-1.414213562373095,1.4142135623730951
pacifier02d,new,,,2.0,,
paddleball,old,1.0,45.0,2.0,1.4142135623730951,1.414213562373095
panda,new,,,2.0,,
papershredder,new,,,2.0,,
papertowel,old,2.0,135.0,2.0,1.4142135623730951,-1.414213562373095
parkbench02,old,3.0,-135.0,2.0,-1.4142135623730954,-1.414213562373095
parkingmeter,old,4.0,-45.0,2.0,-1.414213562373095,1.4142135623730951
parrot01,new,,,2.0,,
partyhat,new,,,2.0,,
pastaspoon,new,,,2.0,,
pavedsidewalk,new,,,2.0,,
payphone,old,4.0,-45.0,2.0,-1.414213562373095,1.4142135623730951
peacock,new,,,2.0,,
peanut01,new,,,2.0,,
pear01,old,4.0,-45.0,2.0,-1.414213562373095,1.4142135623730951
pecan01,new,,,2.0,,
peeler01,old,4.0,-45.0,2.0,-1.414213562373095,1.4142135623730951
pen04b,old,2.0,135.0,2.0,1.4142135623730951,-1.414213562373095
pepper04a,old,2.0,135.0,2.0,1.4142135623730951,-1.414213562373095
peppermill02b,old,1.0,45.0,2.0,1.4142135623730951,1.414213562373095
perfume01a,old,3.0,-135.0,2.0,-1.4142135623730954,-1.414213562373095
petcarrier,new,,,2.0,,
phonebooth,old,2.0,135.0,2.0,1.4142135623730951,-1.414213562373095
pickaxe02,new,,,2.0,,
pickle01a,old,1.0,45.0,2.0,1.4142135623730951,1.414213562373095
pig,new,,,2.0,,
pill,new,,,2.0,,
pillbottle,old,1.0,45.0,2.0,1.4142135623730951,1.414213562373095
pin,new,,,2.0,,
pineapple01a,old,1.0,45.0,2.0,1.4142135623730951,1.414213562373095
pintofbeer,old,1.0,45.0,2.0,1.4142135623730951,1.414213562373095
pirateflag,old,4.0,-45.0,2.0,-1.414213562373095,1.4142135623730951
pitcher02b,new,,,2.0,,
playground,new,,,2.0,,
podium,new,,,2.0,,
polarbear,old,2.0,135.0,2.0,1.4142135623730951,-1.414213562373095
policetape,old,4.0,-45.0,2.0,-1.414213562373095,1.4142135623730951
poloshirt,old,1.0,45.0,2.0,1.4142135623730951,1.414213562373095
pooltable,old,4.0,-45.0,2.0,-1.414213562373095,1.4142135623730951
popcorn,new,,,2.0,,
porsche,new,,,2.0,,
portapotty,old,1.0,45.0,2.0,1.4142135623730951,1.414213562373095
postalmailbox01,old,3.0,-135.0,2.0,-1.4142135623730954,-1.414213562373095
postitnote,new,,,2.0,,
pot02a,new,,,2.0,,
potatomasher03b,old,4.0,-45.0,2.0,-1.414213562373095,1.4142135623730951
pouch01b,old,4.0,-45.0,2.0,-1.414213562373095,1.4142135623730951
printer02,old,2.0,135.0,2.0,1.4142135623730951,-1.414213562373095
propanetank01,new,,,2.0,,
pugdog,new,,,2.0,,
pumpkin,new,,,2.0,,
puttyknife,new,,,2.0,,
pylon01,old,2.0,135.0,2.0,1.4142135623730951,-1.414213562373095
qtip,old,2.0,135.0,2.0,1.4142135623730951,-1.414213562373095
racquetballracket,old,4.0,-45.0,2.0,-1.414213562373095,1.4142135623730951
radiator,new,,,2.0,,
ram,old,3.0,-135.0,2.0,-1.4142135623730954,-1.414213562373095
ramekin01,old,2.0,135.0,2.0,1.4142135623730951,-1.414213562373095
raspberry01,new,,,2.0,,
record,old,4.0,-45.0,2.0,-1.414213562373095,1.4142135623730951
recyclingbin,new,,,2.0,,
redfox,new,,,2.0,,
remotecontrol04,new,,,2.0,,
revolver,new,,,2.0,,
rhinoceros02,new,,,2.0,,
ring01,new,,,2.0,,
rockbass,new,,,2.0,,
rockingchair,new,,,2.0,,
rockinghorse,new,,,2.0,,
rollerblade,new,,,2.0,,
rooster,old,1.0,45.0,2.0,1.4142135623730951,1.414213562373095
rose,new,,,2.0,,
rubberglove02b,new,,,2.0,,
rubikcube,new,,,2.0,,
safetypin,old,4.0,-45.0,2.0,-1.414213562373095,1.4142135623730951
sailboat,new,,,2.0,,
saintbernard,new,,,2.0,,
saw02b,old,2.0,135.0,2.0,1.4142135623730951,-1.414213562373095
saxophone,new,,,2.0,,
schoolbus,old,4.0,-45.0,2.0,-1.414213562373095,1.4142135623730951
scissorlift,new,,,2.0,,
scooter,new,,,2.0,,
scotchtape,new,,,2.0,,
screw02,old,1.0,45.0,2.0,1.4142135623730951,1.414213562373095
seagull,old,3.0,-135.0,2.0,-1.4142135623730954,-1.414213562373095
sewingmachine01a,old,1.0,45.0,2.0,1.4142135623730951,1.414213562373095
sheep,old,3.0,-135.0,2.0,-1.4142135623730954,-1.414213562373095
shelves,old,3.0,-135.0,2.0,-1.4142135623730954,-1.414213562373095
sheriffhat,new,,,2.0,,
shoppingcart,new,,,2.0,,
shoulderpad,new,,,2.0,,
siamesecat,old,2.0,135.0,2.0,1.4142135623730951,-1.414213562373095
skateboard,old,2.0,135.0,2.0,1.4142135623730951,-1.414213562373095
skunk,old,2.0,135.0,2.0,1.4142135623730951,-1.414213562373095
slipper01b,old,1.0,45.0,2.0,1.4142135623730951,1.414213562373095
smokedetector02,old,4.0,-45.0,2.0,-1.414213562373095,1.4142135623730951
smokingpipe,old,3.0,-135.0,2.0,-1.4142135623730954,-1.414213562373095
snowglobe,old,2.0,135.0,2.0,1.4142135623730951,-1.414213562373095
snowman,new,,,2.0,,
snowshovel,old,2.0,135.0,2.0,1.4142135623730951,-1.414213562373095
softcheese,new,,,2.0,,
spatula03,new,,,2.0,,
speedball,old,4.0,-45.0,2.0,-1.414213562373095,1.4142135623730951
sportsjersey,new,,,2.0,,
spraybottle01,old,3.0,-135.0,2.0,-1.4142135623730954,-1.414213562373095
sprinkler,old,3.0,-135.0,2.0,-1.4142135623730954,-1.414213562373095
squeegee01b,old,2.0,135.0,2.0,1.4142135623730951,-1.414213562373095
stackingring01a,old,1.0,45.0,2.0,1.4142135623730951,1.414213562373095
stapler03a,old,3.0,-135.0,2.0,-1.4142135623730954,-1.414213562373095
stapleremover,new,,,2.0,,
star,new,,,2.0,,
steamroller,new,,,2.0,,
steeringwheel,old,2.0,135.0,2.0,1.4142135623730951,-1.414213562373095
stepladder,new,,,2.0,,
storagebin,new,,,2.0,,
strawbasket01,new,,,2.0,,
strawberry,new,,,2.0,,
studiolight,new,,,2.0,,
stuffedanimal02b,new,,,2.0,,
stuffedpuffin,old,2.0,135.0,2.0,1.4142135623730951,-1.414213562373095
sturgeon,new,,,2.0,,
styrofoamcup,new,,,2.0,,
sunglasses04,new,,,2.0,,
syringe01,old,4.0,-45.0,2.0,-1.414213562373095,1.4142135623730951
tabascosauce,new,,,2.0,,
table01,old,3.0,-135.0,2.0,-1.4142135623730954,-1.414213562373095
tankertruck,old,1.0,45.0,2.0,1.4142135623730951,1.414213562373095
tape02a,old,4.0,-45.0,2.0,-1.414213562373095,1.4142135623730951
taperecorder,new,,,2.0,,
